SCHOOL_YEAR,STATENAME,ST,SCH_NAME,NCESSCH,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,SY_STATUS,SY_STATUS_TEXT,CHARTER_TEXT,GSLO,GSHI,LEVEL
2016-2017,ARIZONA,AZ,E-Institute at Taylion,40031103189,4744 W. Grovers,,,Glendale,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,E-Institute at Avondale,40031103292,1035 E. Van Buren Street,,,Avondale,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Khalsa School,40031702202,3701 E. River Rd.,,,Tucson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Southside Community School,40031802203,2701 S. Campbell Ave,,,Tucson,AZ,1,Open,Yes,KG,09,Other
2016-2017,ARIZONA,AZ,Acorn Montessori Charter School,40032002227,8556 East Loos Drive,,,Prescott Valley,AZ,1,Open,Yes,02,08,Elementary
2016-2017,ARIZONA,AZ,Acorn Montessori Charter School  Inc. - West,40032002576,7555 E. Long Look Drive,,,Prescott Valley,AZ,1,Open,Yes,KG,01,Elementary
2016-2017,ARIZONA,AZ,Pinnacle Charter High School,40032102155,810 S. Alma School Rd.,,,Mesa,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Desert Rose Academy Charter School,40032202205,326 W. Fort Lowell Rd.,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Crown Charter School,40032302159,12450 W Maryland Ave,,,Litchfield Park  AZ,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Arizona Charter Academy,40032602162,16011 N. Dysart Rd.,,,Surprise,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,North Pointe Preparatory,40032702163,10215 N. 43rd Avenue,,,Phoenix,AZ,1,Open,Yes,07,12,High
2016-2017,ARIZONA,AZ,Canyon Pointe Academy,40032702291,4941 West Union Hills Drive,,,Glendale,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Pinnacle Pointe Academy,40032702372,6753 West Pinnacle Peak Road,,,Glendale,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Verde Valley Montessori School - A Center for Creative Educa,40032802228,215 S. Main St.,,,Cottonwood,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Primavera - Online,40032903159,2471 N. Arizona Ave.,,,Chandler,AZ,1,Open,Yes,06,12,Other
2016-2017,ARIZONA,AZ,Compass High School,40033002206,8250 E.  22nd St. 128,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Crown Point High School,40033202165,3830 North 67th Avenue,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Destiny School,40033901939,798 E. Prickly Pear Dr.,,,Globe,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Noah Webster Schools- Mesa,40034001940,7301 E. Baseline Road,,,Mesa,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Children Reaching for the Sky Preparatory,40034302246,1844 S. Alvernon Way,,,Tucson,AZ,1,Open,Yes,KG,05,Elementary
2016-2017,ARIZONA,AZ,Future Investment Middle School,40034303003,1854 South Alvernon Way,,,Tucson,AZ,1,Open,Yes,06,08,Middle
2016-2017,ARIZONA,AZ,Bella Vista Academy,40034403467,33401 N. 56th Street,,,Scottsdale,AZ,1,Open,Yes,06,08,Middle
2016-2017,ARIZONA,AZ,The Peak School,40035002286,2016 North First Street A & B,,,Flagstaff,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Vista Grove Preparatory Academy Middle School,40035102148,2929 E. McKellips Road,,,Mesa,AZ,1,Open,Yes,07,09,Other
2016-2017,ARIZONA,AZ,Estrella High School,40035201898,510 North Central Avenue,,,Avondale,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Peoria Accelerated High School,40035301896,8885 W Peoria Ave.,,,Peoria,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Sun Valley High School,40035401733,1143 S Lindsay Rd,,,Mesa,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,West Phoenix High School,40035501734,3835 West Thomas Road,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Nosotros Academy,40035602287,440 N. Grande Ave.,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Apache Trail High School,40035701732,945 West Apache Trail,,,Apache Junction,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Challenger Basic School,40035902292,1315 North Greenfield Road,,,Gilbert,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,La Paloma Academy,40036102299,2050 N. Wilmot Road,,,Tucson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,La Paloma Academy (Lakeside),40036103165,8140 E. Golflinks Rd.,,,Tucson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,La Paloma Academy-South,40036103312,5660 S 12th,,,Tucson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Intelli-School,40036302300,1727 North Arizona Ave,Unit 140,,Chandler,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Intelli-School - Metro Center,40036400804,3327 W Peoria Ave,,,Phoenix,AZ,1,Open,Yes,09,12,High
